method,alpha,SAM
label_prop,0.0,0.0
louvain_gamma_1.0,0.0,0.9999999998089
spectral_k_50,0.0,0.014056726073562772
slr_alpha_0.5,0.0,0.014528747210289907
label_prop,0.1,0.05240776085098623
louvain_gamma_1.0,0.1,0.9999999998276605
spectral_k_50,0.1,0.012651053466206496
slr_alpha_0.5,0.1,0.04639704942356462
label_prop,0.2,0.10481552170197246
louvain_gamma_1.0,0.2,0.999999999846421
spectral_k_50,0.2,0.01124538085885022
slr_alpha_0.5,0.2,0.07826535163683931
label_prop,0.30000000000000004,0.1572232825529587
louvain_gamma_1.0,0.30000000000000004,0.9999999998651814
spectral_k_50,0.30000000000000004,0.00983970825149394
slr_alpha_0.5,0.30000000000000004,0.11013365385011405
label_prop,0.4,0.20963104340394492
louvain_gamma_1.0,0.4,0.9999999998839417
spectral_k_50,0.4,0.008434035644137663
slr_alpha_0.5,0.4,0.14200195606338872
label_prop,0.5,0.26203880425493115
louvain_gamma_1.0,0.5,0.9999999999027023
spectral_k_50,0.5,0.007028363036781386
slr_alpha_0.5,0.5,0.17387025827666344
label_prop,0.6000000000000001,0.3144465651059174
louvain_gamma_1.0,0.6000000000000001,0.9999999999214628
spectral_k_50,0.6000000000000001,0.005622690429425108
slr_alpha_0.5,0.6000000000000001,0.2057385604899382
label_prop,0.7000000000000001,0.36685432595690365
louvain_gamma_1.0,0.7000000000000001,0.9999999999402231
spectral_k_50,0.7000000000000001,0.0042170178220688305
slr_alpha_0.5,0.7000000000000001,0.23760686270321288
label_prop,0.8,0.41926208680788984
louvain_gamma_1.0,0.8,0.9999999999589837
spectral_k_50,0.8,0.002811345214712554
slr_alpha_0.5,0.8,0.26947516491648754
label_prop,0.9,0.4716698476588761
louvain_gamma_1.0,0.9,0.999999999977744
spectral_k_50,0.9,0.001405672607356277
slr_alpha_0.5,0.9,0.3013434671297623
label_prop,1.0,0.5240776085098623
louvain_gamma_1.0,1.0,0.9999999999965046
spectral_k_50,1.0,0.0
slr_alpha_0.5,1.0,0.333211769343037
